FREQ;UNIT;INDIC_PS;GEO\TIME_PERIOD,2012 ,2013 ,2014 ,2015 ,2016 ,2017
A;FTE;EMP101_01_02;MT,601 ,: ,: ,: c,: c,: c
A;FTE;EMP101_01_02;NL,: ,31016 ,26361 ,25074 ,: c,: c
A;FTE;EMP101_01_02;NO,: ,: ,: ,18189 ,: ,:
A;FTE;EMP101_01_02;PL,: ,83468 ,79471 ,75026 ,74601 ,76318
A;FTE;EMP101_01_02;PT,: ,: ,: ,: ,: ,:
A;FTE;EMP101_01_02;RO,31608 ,25132 ,24757 ,24518 ,24139 ,21933
A;FTE;EMP101_01_02;RS,: ,: ,: z,: ,: ,:
A;FTE;EMP101_01_02;SE,21072 ,20705 ,19861 ,19271 ,19534 ,19550
A;FTE;EMP101_01_02;SI,: ,: ,0 ,0 ,: ,:
A;FTE;EMP101_01_02;SK,9612 ,9529 ,9723 ,9794 ,9851 ,9872
A;FTE;EMP101_01_02;UK,151138 ,148851 ,: ,: ,151601 ,149281
A;FTE;EMP101_02_01;AT,: ,1703 ,1742 ,1861 ,2704 ,2739
A;FTE;EMP101_02_01;BE,: ,: ,2637 ,2740 ,2172 ,4051
A;FTE;EMP101_02_01;BG,: ,5869 ,3786 ,4197 ,2379 ,1432
A;FTE;EMP101_02_01;CH,: ,: ,5000 ,5000 ,: ,:
A;FTE;EMP101_02_01;CY,19 ,12 ,457 ,399 ,590 ,677
A;FTE;EMP101_02_01;CZ,: ,197 ,534 ,593 ,571 ,645
A;FTE;EMP101_02_01;DE,211700 ,: ,: ,: ,: ,:
A;FTE;EMP101_02_01;DK,1233 ,1279 ,: c,10863 ,2271 ,2399
A;FTE;EMP101_02_01;EE,: ,: ,: ,: ,672 ,650
A;FTE;EMP101_02_01;EL,: ,6866 ,8154 ,8274 ,9183 e,10143 e
A;FTE;EMP101_02_01;ES,0 ,: ,7543 ,7579 ,17067 b,17239
A;FTE;EMP101_02_01;FI,: ,: ,: ,: ,: ,:
A;FTE;EMP101_02_01;FR,: ,: ,: ,: ,: ,:
A;FTE;EMP101_02_01;HR,: ,: ,: ,: ,: ,:
A;FTE;EMP101_02_01;HU,1649 ,1216 ,1326 ,1631 ,1548 ,1387
A;FTE;EMP101_02_01;IE,: ,482 ,706 b,781 ,605 ,945
A;FTE;EMP101_02_01;IS,: ,: ,: ,140 ,120 ,115
A;FTE;EMP101_02_01;IT,10965 ,10965 ,12096 ,12211 ,14678 b,15862
A;FTE;EMP101_02_01;LT,1 ,: ,: ,: ,: ,:
A;FTE;EMP101_02_01;LU,: ,411 ,407 ,413 ,437 ,449
A;FTE;EMP101_02_01;LV,1321 ,1312 ,1350 ,1312 ,2094 ,2019
A;FTE;EMP101_02_01;MK,: ,0 ,: ,495 ,711 ,836
A;FTE;EMP101_02_01;MT,218 ,: ,: ,: c,: c,: c
A;FTE;EMP101_02_01;NL,: ,517 ,2081 ,: c,: c,: c
A;FTE;EMP101_02_01;NO,: ,: ,: ,: ,: ,:
A;FTE;EMP101_02_01;PL,: ,12700 ,12639 ,13386 ,13071 ,14927
A;FTE;EMP101_02_01;PT,: ,: ,: ,: ,: ,:
A;FTE;EMP101_02_01;RO,10158 ,2580 ,7956 ,8377 ,9299 ,9362
A;FTE;EMP101_02_01;RS,: ,: ,: z,: ,: ,:
A;FTE;EMP101_02_01;SE,: ,: ,: ,: ,: ,:
A;FTE;EMP101_02_01;SI,: ,: ,: z,: z,: ,:
A;FTE;EMP101_02_01;SK,968 ,1188 ,1207 ,1369 ,1439 ,1307
A;FTE;EMP101_02_01;UK,: ,: ,: ,: ,: ,:
A;HC;EMP101_01;AT,: ,20145 ,: ,: ,: ,:
A;HC;EMP101_01;BE,29922 ,28747 ,27479 ,24703 ,24850 ,25299
A;HC;EMP101_01;BG,11384 ,11126 ,10794 ,10572 ,10508 ,10293
A;HC;EMP101_01;CH,52378 ,51779 ,52831 ,51619 ,: ,:
A;HC;EMP101_01;CY,1224 ,1210 ,1690 ,1702 b,650 b,645
A;HC;EMP101_01;CZ,: ,62678 ,59610 ,58890 ,58345 ,59074
A;HC;EMP101_01;DE,: ,: ,148518 ,148669 ,146826 ,146000
A;HC;EMP101_01;DK,13386 ,12727 ,11772 ,10399 ,9313 ,8000
A;HC;EMP101_01;EE,2049 ,2059 ,1640 ,1768 ,1804 ,1698
A;HC;EMP101_01;EL,8837 ,7977 ,7185 ,6859 ,8039 ,7238
A;HC;EMP101_01;ES,: ,53264 ,51275 ,50153 ,54764 ,56326
A;HC;EMP101_01;FI,18610 ,18610 ,16558 ,16669 ,16220 ,15807
A;HC;EMP101_01;FR,: ,: ,: c,207890 ,: c,: c
A;HC;EMP101_01;HR,8137 ,7394 ,7082 ,7912 ,8078 ,9233 b
A;HC;EMP101_01;HU,31610 ,25787 ,23779 ,28427 ,27967 ,28743
A;HC;EMP101_01;IE,8729 ,8251 ,8006 ,7890 ,7803 ,7765
A;HC;EMP101_01;IS,1078 ,1053 ,1001 ,1093 ,1115 ,1183
A;HC;EMP101_01;IT,: ,: ,: ,: ,: ,:
A;HC;EMP101_01;LT,6482 ,6272 ,6019 ,5924 ,5783 ,5610
A;HC;EMP101_01;LU,1402 ,1376 ,1415 ,1385 ,1385 ,1360
A;HC;EMP101_01;LV,4215 ,4095 ,4189 ,4236 ,4239 ,4100
A;HC;EMP101_01;MK,2288 ,2217 ,2306 ,2265 ,2343 ,2244
A;HC;EMP101_01;MT,601 ,599 ,: c,: c,: c,: c
A;HC;EMP101_01;NL,: ,59280 ,52364 ,49174 ,: c,: c
A;HC;EMP101_01;NO,19388 ,19022 ,: ,18590 ,16992 ,:
A;HC;EMP101_01;PL,91373 ,83468 ,79741 ,: ,74601 e,76318 e
A;HC;EMP101_01;PT,11715 ,11043 ,10765 ,10812 ,10881 ,10893
A;HC;EMP101_01;RO,32887 ,27451 ,26784 ,24518 ,25720 ,24725
A;HC;EMP101_01;RS,15068 ,15155 ,15015 ,14965 ,14868 ,14980
A;HC;EMP101_01;SE,23912 ,23721 ,21853 ,21462 ,20272 ,19617
A;HC;EMP101_01;SI,5598 ,5352 ,5968 ,5831 ,5510 ,5688
A;HC;EMP101_01;SK,14470 ,14363 ,14329 ,14214 ,14049 ,13858
A;HC;EMP101_01;UK,149710 ,149172 ,145205 ,139000 ,142579 ,141034
A;HC;EMP101_02;AT,: ,1962 ,: ,: ,: ,:
A;HC;EMP101_02;BE,3603 ,3908 ,4326 ,6447 ,5966 ,5825
A;HC;EMP101_02;BG,2595 ,6951 ,7491 ,7776 ,7235 ,5842
A;HC;EMP101_02;CH,5000 ,5000 ,5000 ,5000 ,: ,:
A;HC;EMP101_02;CY,500 ,463 ,481 ,420 ,597 ,705
A;HC;EMP101_02;CZ,: ,6266 ,6982 ,6779 ,6088 ,6081
A;HC;EMP101_02;DE,: ,: ,383788 ,385215 ,380000 ,412529
A;HC;EMP101_02;DK,12113 ,11724 ,: c,11328 ,12411 ,13142
A;HC;EMP101_02;EE,904 ,870 ,840 ,944 ,963 ,969
A;HC;EMP101_02;EL,6897 ,7172 ,8696 ,8852 ,10003 e,10250 e
A;HC;EMP101_02;ES,: ,: ,17135 ,17467 ,19529 b,18963
A;HC;EMP101_02;FI,: ,: ,: ,: ,: ,:
A;HC;EMP101_02;FR,: ,: ,: c,836 ,: c,: c
A;HC;EMP101_02;HR,2525 ,2421 ,2372 ,1688 ,1641 ,2186
A;HC;EMP101_02;HU,2013 ,1559 ,1385 ,1704 ,1845 ,1515
A;HC;EMP101_02;IE,: ,492 ,721 b,309 ,619 ,958
A;HC;EMP101_02;IS,: ,: ,: ,520 ,560 ,468
A;HC;EMP101_02;IT,: ,: ,: ,: ,: ,:
A;HC;EMP101_02;LT,2097 ,2366 ,2237 ,2225 ,1769 ,1772
A;HC;EMP101_02;LU,: ,412 ,407 ,419 ,612 ,454
A;HC;EMP101_02;LV,1321 ,1312 ,1350 ,1312 ,2094 ,2019
A;HC;EMP101_02;MK,381 ,466 ,534 ,495 ,711 ,836
A;HC;EMP101_02;MT,218 ,222 ,: c,: c,: c,: c
A;HC;EMP101_02;NL,: ,6111 ,7994 ,: c,: c,: c
A;HC;EMP101_02;NO,: ,: ,: ,: ,: ,:
A;HC;EMP101_02;PL,12228 ,12700 ,: ,: ,13071 e,14927 e
A;HC;EMP101_02;PT,3529 ,3722 ,3619 ,3526 ,3597 ,3613
A;HC;EMP101_02;RO,13711 ,13659 ,10011 ,8377 ,10379 ,10688
A;HC;EMP101_02;RS,2618 ,2464 ,2615 ,2751 ,3096 ,3629
A;HC;EMP101_02;SE,6799 ,6584 ,7101 ,7226 ,7286 ,10572
A;HC;EMP101_02;SI,208 ,208 ,227 ,217 ,267 ,567
A;HC;EMP101_02;SK,7781 ,7567 ,8721 ,9873 ,6070 ,6257
A;HC;EMP101_02;UK,: ,: ,: ,: ,: ,:
A;MIO_EUR;FIN303_01;AT,: ,1327.64 ,1324.75 ,1114.63 ,1403.00 ,1487.40
A;MIO_EUR;FIN303_01;BE,1233.26 ,1429.61 ,: c,: c,: c,: c
A;MIO_EUR;FIN303_01;BG,13.90 ,17.58 ,18.56 ,21.16 ,25.63 ,31.91
A;MIO_EUR;FIN303_01;CH,2673.99 ,: ,: c,: c,: c,2903.15
A;MIO_EUR;FIN303_01;CY,26.89 ,25.10 ,24.10 ,25.50 ,23.01 ,22.90
A;MIO_EUR;FIN303_01;CZ,: ,376.88 ,350.74 ,297.51 ,305.09 ,230.79
A;MIO_EUR;FIN303_01;DE,: ,: ,9420.00 e,9650.00 ,9890.00 ,19896.00
A;MIO_EUR;FIN303_01;DK,1189.99 ,1105.27 ,: c,1013.74 ,: c,: c
A;MIO_EUR;FIN303_01;EE,24.60 ,25.73 ,: c,: c,: c,: c
A;MIO_EUR;FIN303_01;EL,313.40 ,280.25 ,281.90 ,237.62 ,219.57 ,210.66
A;MIO_EUR;FIN303_01;ES,: ,1308.27 ,1160.13 b,1132.65 ,: c,: c
A;MIO_EUR;FIN303_01;FI,139.10 ,150.20 ,: c,: c,: c,:
A;MIO_EUR;FIN303_01;FR,: ,: ,: c,: c,: c,: c
A;MIO_EUR;FIN303_01;HR,104.00 ,112.71 ,112.07 ,122.46 ,124.14 ,122.57
A;MIO_EUR;FIN303_01;HU,321.93 ,305.97 ,299.31 ,305.23 ,320.08 ,302.53
A;MIO_EUR;FIN303_01;IE,: ,254.00 ,302.20 b,: c,: c,: c
A;MIO_EUR;FIN303_01;IS,33.14 ,32.54 ,36.72 ,40.08 ,48.90 ,:
